countryname,populism,executive,legislature,populist1,populist2,,,,,,,,
Argentina,,0.017,0.214,0.75,0.55,Uni蚤 C仰ica Radical,Alianza Compromiso Federal,,,,,,
Austria,,0.152,0.2,1,,Freedom Party of Austria,,,,,,,
Belgium,,0.015,0.015,0.55,,Parti Populaire,,,,,,,
Bolivia,,0.61,,1.55,,Movimiento al Socialismo,,,,,,,
Brazil,,0.016,,1.38,,"Partido Socialismo e Liberdade, Brazil",,,,,,,
Canada,,0.366,0.366,0.8,0.75,"Conservative Party, Canada (0","Bloc Qu안b안cois, Canada",,,,,,
Chile,,0.122,0.054,2,0.73,"Partido Igualdad, Chile (2.0)","Partido Progressista, Chile (",,,,,,
Colombia,,0.152,0.035,0.78,,"Polo Democr아tico Alternativo, Colombia",,,,,,,
Ecuador,,0.572,0.524,1.43,,"Alianza Patria Altiva i Soberana, Ecuado",,,,,,,
France,,0.29,0.205,0.58,0.58,"Front National, Franc","Front de Gauche, France",,,,,,
Germany,,0.1,0.1,1.4,1.3,"Nationaldemokratische Partei Deutschlands, German","Die Linke, Germany",,,,,,
Greece,,0.355,0.355,,,Syriza,,,,,,,
Ireland,,0.533,0.293,0.3,0.325,Labour,Sinn F안in,,,,,,
Italy,,0.02,0.02,0.95,,"Rivoluzione Civile, Italy",,,,,,,
Mexico,,0.316,0.114,0.75,,"Partido de la Revoluci앒n Democr아tica, Mexico",,,,,,,
Netherlands,,0.101,0.101,1.25,,"Partij voor de Vrijheid, Netherlands",,,,,,,
Norway,,0.739,0.739,0,0,Progress Party,Conservative Party,,,,,,
Paraguay,,0.0622,0.0378,0.8,,"Concertaci앒n Avanza Pais, Paraguay (",,,,,,,
Peru,,0.415,0.442,0.925,0.8,"Partido Nacionalista Peruano, Peru","Solidariedad Nacional, Peru",,,,,,
Portugal,,0.079,0.079,0.7,,"Partido Comunista Portugu간s, Portugal",,,,,,,
Spain,,0.164,0.164,1,,"Izquierda Unida, Spain",Podemos,,,,,,
Sweden,,0.126,0.126,0.4,0.37,Green Party,Left Party,,,,,,
Switzerland,,0.266,0.266,1,,"Schweizerische Volkspartei, Switzerland",,,,,,,
United Kingdom,,0.173,0.173,0.95,0.65,"British National Party, UK (","Scottish National Party, UK",,,,,,
United States,,0.51,0.455,0.32,,Democratic Party,,,,,,,
Uruguay,,0.01,0.01,0.73,,"Unidad Popular, Uruguay (",,,,,,,
Venezuela,,0.997,0.989,1.725,1.55,"Partido Socialista Unido de Venezuela, Venezuela","Mesa de la Unidad Democr아tica, Venezue",,,,,,
